"txid","refid","time","type","subtype","aclass","subclass","asset","wallet","amount","fee","balance"
"LZ4E2Q-EECUE-OMVFFH","TLMP5Q-6YD6V-TC5ASA","2024-11-06 06:47:59","trade","tradespot","currency","fiat","GBP","spot / main",-61.4620,0.1229,152.2828
"LNRWFA-LQKNL-G6HA7K","TLMP5Q-6YD6V-TC5ASA","2024-11-06 06:47:59","trade","tradespot","currency","stable_coin","USDT","spot / main",79.00000000,0,80.34583122
"L2LSK4-5MNA5-NVFN5I","FTVrfmr-32UGoY6PoWS5Y1p9zfkoK1","2024-11-06 06:49:18","withdrawal","","currency","stable_coin","USDT","spot / main",-75.00000000,4.00000000,1.34583122
"L3GPQP-2P4BF-2GKYYC","TO2IGX-JOJX7-VGAZII","2024-11-12 12:08:17","trade","tradespot","currency","fiat","GBP","spot / main",1165.0899,4.6604,1312.7123
"LW5HI4-DGH5J-FPK3YC","TUEZNB-AM2ZF-SEP5ST","2024-11-13 07:12:14","trade","tradespot","currency","fiat","GBP","spot / main",-1218.9793,2.4378,91.2952
"LIADDQ-3O6BK-DF6UPM","TUEZNB-AM2ZF-SEP5ST","2024-11-13 07:12:14","trade","tradespot","currency","stable_coin","USDT","spot / main",1554.00000000,0,1555.34583122
"LVCNTQ-DXBOI-B632UI","FTXkwwt-GZ1KECuIs03pWJgWGgvMPy","2024-11-13 07:13:07","withdrawal","","currency","stable_coin","USDT","spot / main",-1550.00000000,4.00000000,1.34583122
"LFPZWY-2ILJ4-S4U5CK","FTVawDw-5TASTPM5XsbqmlSOQCzBOI","2024-11-13 11:51:24","deposit","","currency","stable_coin","USDT","spot / main",4907.00000000,0,4908.34583122
"LIMDWK-SCHGF-MKBZ6M","T32KGE-6G6UY-WI2H66","2024-11-13 13:13:15","trade","tradespot","currency","stable_coin","USDT","spot / main",-3183.90219052,6.36780438,1718.07583632
"LKRFVH-7IQ4Z-27SJXH","T32KGE-6G6UY-WI2H66","2024-11-13 13:13:15","trade","tradespot","currency","fiat","GBP","spot / main",2499.6816,0,2590.9768
"LHB53U-LDILS-GMS7PE","FTP5Vi8-DHBwmBVAjZeNWryiIipMl4","2024-11-13 13:14:08","withdrawal","","currency","fiat","GBP","spot / main",-848.0500,1.9500,1740.9768
"LWYHY7-WNVX4-CUC6RJ","FTMchoA-0rAK5IiPaZ8GiS07lGh9Iy","2024-11-13 13:25:41","withdrawal","","currency","fiat","GBP","spot / main",-750.0000,1.9500,989.0268
"LB4VM4-LLRPS-QQZRBH","FTRZweH-Ghvdp4kpV7zbdNC15C5fO7","2024-11-13 13:38:50","withdrawal","","currency","stable_coin","USDT","spot / main",-10.00000000,4.00000000,1704.07583632
"LTVY5T-6V7Y5-7XVAHO","FTLmO0U-E4oS15gJsLuCsaRvvmSGd6","2024-11-13 13:50:39","withdrawal","","currency","fiat","GBP","spot / main",-495.0500,1.9500,492.0268
"LYEUTI-ZEMO4-ZVEM2W","FTgcwt2-9ZknM7E7COwA5XjUGLypKa","2024-11-14 07:22:53","withdrawal","","currency","stable_coin","USDT","spot / main",-490.00000000,4.00000000,1210.07583632
"LDRTLV-OBQYB-HWDXYS","TQZUKM-UKA5E-64O4E5","2024-11-14 07:26:06","trade","tradespot","currency","stable_coin","USDT","spot / main",-317.13814537,0.63427629,892.30341466
"LUZFAV-L5ORS-IIHLHX","TQZUKM-UKA5E-64O4E5","2024-11-14 07:26:06","trade","tradespot","currency","fiat","GBP","spot / main",250.0317,0,742.0585
"LTBA4I-7K76U-KRNEIO","FTDH8Fa-wEKJsPqkcYqT63cEgdbVjG","2024-11-14 07:26:43","withdrawal","","currency","fiat","GBP","spot / main",-701.0000,1.9500,39.1085
"LKWOHD-NTZNU-HDWMB7","FTd3VZ3-lATRLA1QFiktOcB57ekS5J","2024-11-14 16:02:28","deposit","","currency","stable_coin","USDT","spot / main",10.00000000,0,902.30341466
"LNKNXP-QBJSK-PHJTUO","TXFPWZ-UBSON-VJGRE6","2024-11-15 07:03:29","trade","tradespot","currency","stable_coin","USDT","spot / main",-887.53645239,1.77507290,12.99188937
